codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-081-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7PXPCbmA_s3kRB1q4DEPjnv-HUANu22UHffqsdLYr0Y,",DCI: CISPLATINO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Cisplatino,Líquido Parenteral / Sólido Parenteral,50 MG,Caja X Vial -Es-,Adjudicado oferente ganador,5.25127,Pichincha , Quito,2022-03-25 08:00:00
SICM-082-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=jtLM_hu4c-qoF-3ZZQ_gwzbwPwJPoAsmGjc_JANZzgg,",DCI: CARBOPLATINO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 45 ML,Carboplatino,Líquido Parenteral / Sólido Parenteral,10 MG/ML,Caja X Vial-Es- X 45 Ml,Adjudicado otros oferentes,41.87989,Pichincha , Quito,2022-03-25 08:00:00
SICM-083-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Oqp6maZfRvCR86UiZkTgFUoIlKpzAXdQPbYJEY6S4TM,",DCI: OXALIPLATINO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Oxaliplatino,Líquido Parenteral / Sólido Parenteral,50 MG,Caja X Vial -Es-,Adjudicado otros oferentes,14.445,Pichincha , Quito,2022-03-25 08:00:00
SICM-084-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gg20bLLuMbTNxTi4GLFwFyVDWA2vyM5p4qvtCuoDLnU,",DCI: BEVACIZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 4 ML,Bevacizumab,Líquido Parenteral,25 MG/ML,Caja X Vial X 4 Ml,Adjudicado otros oferentes,281.06,Pichincha , Quito,2022-03-25 08:00:00
SICM-085-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PPk7Jb6QqSXpSt34t-hSlWkfDpH-Ds-M5oYnxDQ-RpA,",DCI: BEVACIZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 16 ML,Bevacizumab,Líquido Parenteral,25 MG/ML,Caja X Vial X 16 Ml,Adjudicado otros oferentes,480.0,Pichincha , Quito,2022-03-25 08:00:00
SICM-086-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=bT1b17lNI0yZNBvjZlWrrPZIfcemz2umfH62qjLrEHQ,",DCI: NILOTINIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Nilotinib,Sólido Oral,200 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,29.5,Pichincha , Quito,2022-03-25 08:00:00
SICM-087-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DH3lX0DqIxsskXAGpiUnrTpGESEs479gVBrahBIO80w,",DCI: FULVESTRANT - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 5 ML - CAJA X JERINGA-S- PRELLENADA-S- X 5 ML,Fulvestrant,Líquido Parenteral,50 MG/ML,Caja X Vial-Es- X 5 Ml - Caja X Jeringa-S- Prellenada-S- X 5 Ml,Adjudicado oferente ganador,245.0,Pichincha , Quito,2022-03-25 08:00:00
SICM-089-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8zOCYSYEe8bCj6KnYxE3XCu85fIJGDOpaV5g6J-LXOE,","DCI: BICALUTAMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Bicalutamida,Sólido Oral,50 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado oferente ganador,0.42,Pichincha , Quito,2022-03-25 08:00:00
SICM-090-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=CgPNrJm8d90ZgH5ORGymVUmbPg5GbW4a1xzt4I4NkYE,",DCI: ENZALUTAMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Enzalutamida,Sólido Oral,40 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,30.56,Pichincha , Quito,2022-03-25 08:00:00
SICM-046-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Ts7Z99qmdXh_cfy3rW0VBSY5Z7v9loSsusbF6R16fU8,",DCI: FACTOR VIII - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 UI -RECOMBINANTE- PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE Y KIT PARA ADMINISTRACIÓN,Factor Viii,Sólido Parenteral,1 000 UI -RECOMBINANTE- PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE Y KIT PARA ADMINISTRACIÓN,Caja X Vial Con Diluyente Y Kit Para Administración,Adjudicado oferente ganador,391.0,Pichincha , Quito,2022-03-24 08:00:00
SICM-031-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ekU3dTszpo2Y6RW6z5M7gdhNayRk6e0kRLo5i0EuQzo,","DCI: TEMOZOLOMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Temozolomida,Sólido Oral,100 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado otros oferentes,14.0,Pichincha , Quito,2022-03-24 08:00:00
SICM-048-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HNoRz1_Ll-mPZEICyljsED8ZFWb_t_IUjtnjsGZjt7Q,",DCI: ENALAPRIL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Enalapril,Sólido Oral,10 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.012,Pichincha , Quito,2022-03-24 08:00:00
SICM-049-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iWIVeNm7o9Kwn6afdSEEw5TbgYtLWnfLXwe0EMOZnuY,",DCI: ATORVASTATINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 80 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Atorvastatina,Sólido Oral,80 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.4039,Pichincha , Quito,2022-03-24 08:00:00
SICM-050-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TfMXSmqzNfDZeUwHx6xgKPWprL48WzLUkBj8ss0EOig,",DCI: PROPOFOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 20 ML - CAJA X AMPOLLA-S- X 20 ML,Propofol,Líquido Parenteral,10 MG/ML,Caja X Vial-Es- X 20 Ml - Caja X Ampolla-S- X 20 Ml,Adjudicado otros oferentes,1.6461,Pichincha , Quito,2022-03-24 08:00:00
SICM-051-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UPO3J7t5A0lWuucD0FJJ0k_L6saEBuYuXHHny1RTX8A,",DCI: PARACETAMOL - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 15 ML -MÍNIMO-,Paracetamol,Líquido Oral,100 MG/ML,Caja X Frasco Gotero X 15 Ml -Mínimo-,Adjudicado oferente ganador,0.24246,Pichincha , Quito,2022-03-24 08:00:00
SICM-033-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mWA-xhNKr8je-pLtIRmgGSzjx64mHuNQwEY-n2IHkuA,",DCI: PEMETREXED - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Pemetrexed,Sólido Parenteral,500 MG,Caja X Vial-Es-,Adjudicado otros oferentes,97.5,Pichincha , Quito,2022-03-24 08:00:00
SICM-052-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LqOVFVKhXCrk4iebi2uzh_EXczH7k1olZYNoRda2NDQ,",DCI: CARBAMAZEPINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Carbamazepina,Sólido Oral,200 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.03838,Pichincha , Quito,2022-03-24 08:00:00
SICM-053-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Fl6OjcMtT_sZBUtQJU-8N-c_ezCtglUD8vcCOUTihjI,",DCI: LAMOTRIGINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Lamotrigina,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.0621,Pichincha , Quito,2022-03-24 08:00:00
SICM-054-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MyYU-_ZvZeEcw4Xw3aLJQlpnFRX-AasmiP95qzol-Bg,",DCI: LEVETIRACETAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Levetiracetam,Sólido Oral,1 000 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.25,Pichincha , Quito,2022-03-24 08:00:00
SICM-055-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=zexZMeDpMAMQnJ4bgyVpmJPXquPDObp1SoqknWA35mU,",DCI: LEVETIRACETAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Levetiracetam,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.186,Pichincha , Quito,2022-03-24 08:00:00
SICM-056-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=YHJyxzWOgxCSzTMW6N5iam3rSsZqmAvqN5Ih6wxbxDQ,",DCI: ATROPINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 1 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Atropina,Líquido Parenteral,1 MG/ML,Caja X Ampolla-S- X 1 Ml,Adjudicado oferente ganador,0.21,Pichincha , Quito,2022-03-24 08:00:00
SICM-058-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8xp9GLkLpfHUF23Dg5-QbOWlPn-QVKDJrHjKT96ZKZA,",DCI: ONDANSETRÓN - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 2 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 4 ML,Ondansetrón,Líquido Parenteral,2 MG/ML,Caja X Ampolla-S- X 4 Ml,Adjudicado oferente ganador,0.6,Pichincha , Quito,2022-03-24 08:00:00
SICM-059-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HujHsDIWpuUyivOAT-v-F6pm8ICOrn8BPiTpDsizBtk,",DCI: INSULINA GLARGINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 UI/ML - PRESENTACIÓN COMERCIAL: CAJA X CARTUCHO-S- / PLUMA-S-,Insulina Glargina,Líquido Parenteral,100 UI/ML,Caja X Cartucho-S- / Pluma-S-,Adjudicado oferente ganador,8.57371,Pichincha , Quito,2022-03-24 08:00:00
SICM-060-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lGy9fHii_V_o8rj2HaGIWblA9DCBdRkd_eFPVJT7GZI,",DCI: METFORMINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 750 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Metformina,Sólido Oral,750 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.0591,Pichincha , Quito,2022-03-24 08:00:00
SICM-034-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=qOVQT8dnhhY0cG9NPuNZvW03NJri7L9wsxW9onxi8uo,",DCI: GEMCITABINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Gemcitabina,Sólido Parenteral,200 MG,Caja X Vial-Es-,Adjudicado oferente ganador,10.9468,Pichincha , Quito,2022-03-24 08:00:00
SICM-037-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0NVE7vt5aN9DToGKrMfQa7EjKkV4gAmqAyEpGNi1PpA,",DCI: IRINOTECAN - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 5 ML,Irinotecan,Líquido Parenteral,20 MG/ML,Caja X Vial-Es- X 5 Ml,Adjudicado oferente ganador,15.1984,Pichincha , Quito,2022-03-24 08:00:00
SICM-039-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=RrdBUuZqDvdulI6OUEAMxGKx8HeP7u_MsUDQdDS7PIg,",DCI: MEROPENEM - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Meropenem,Sólido Parenteral,500 MG,Caja X Vial-Es-,Adjudicado oferente ganador,2.96,Pichincha , Quito,2022-03-24 08:00:00
SICM-040-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1p7dEQuZHeNMM54cqFi3MODRujD9LiWDl7WhrfrRVxM,","DCI: VALGANCICLOVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 450 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Valganciclovir,Sólido Oral,450 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado otros oferentes,4.0293,Pichincha , Quito,2022-03-24 08:00:00
SICM-042-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=i6jqodFLw79AKaFc3G68v9SygUl8Cpxz4DiOTnzBWYw,",DCI: ENOXAPARINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 4 000 UI -40 MG - PRESENTACIÓN COMERCIAL: CAJA X JERINGA-S- PRELLENADA-S-,Enoxaparina,Líquido Parenteral,4 000 UI -40 MG,Caja X Jeringa-S- Prellenada-S-,Adjudicado oferente ganador,2.02,Pichincha , Quito,2022-03-24 08:00:00
SICM-044-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NrLlaiY8f4RqM8Cq8ZYJlSGwSTq-yY1eoryPw9IkRAU,",DCI: FACTOR VIII - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 UI RECOMBINANTE - PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE Y KIT PARA ADMINISTRACIÓN,Factor Viii,Sólido Parenteral,500 UI RECOMBINANTE,Caja X Vial Con Diluyente Y Kit Para Administración,Adjudicado oferente ganador,189.72,Pichincha , Quito,2022-03-24 08:00:00
SICM-045-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=f7VU6fy6EATkmhKkQ3C3tbV8Za6fgRhKkXNqfch5wpY,",DCI: FACTOR VIII - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 UI PLASMÁTICO - PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE Y KIT PARA ADMINISTRACIÓN,Factor Viii,Sólido Parenteral,1 000 UI PLASMÁTICO,Caja X Vial Con Diluyente Y Kit Para Administración,Adjudicado oferente ganador,280.0,Pichincha , Quito,2022-03-24 08:00:00
SICM-001-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TsZsl5C4sSWSdKUNCXJMXp0rwbXHvSBG7OkOcp-vANY,",DCI: GEMCITABINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Gemcitabina,Sólido Parenteral,1 000 MG,Caja X Vial -Es-,Adjudicado otros oferentes,21.32,Pichincha , Quito,2022-03-23 08:00:00
SICM-016-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HqYDvyZMajxPryxLypE4JcqiTXUDXow2GzVwwBrJsvg,",DCI: LOSARTÁN - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Losartán,Sólido Oral,50 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.01313,Pichincha , Quito,2022-03-23 08:00:00
SICM-002-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Bw7xicuub1tQdgBQ4lXBmPg4vf6Wa6lp_XXbcP7grT8,","DCI: BORTEZOMIB - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 3,5 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-",Bortezomib,Sólido Parenteral,"3,5 MG",Caja X Vial -Es-,Adjudicado otros oferentes,61.94,Pichincha , Quito,2022-03-23 08:00:00
SICM-017-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hDnY6smsw7voq66RxFh_HfQsW5r_QLtgwKnDgwUtITs,",DCI: ATORVASTATINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Atorvastatina,Sólido Oral,20 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.05,Pichincha , Quito,2022-03-23 08:00:00
SICM-003-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-97G3te47E3rPd2Q62ePmjZHAKV14IvCK7K4HCXSsHw,",DCI: PIPERACILINA + TAZOBACTAM - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 4 000 MG + 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Piperacilina + Tazobactam,Sólido Parenteral,4 000 MG + 500 MG,Caja X Vial -Es-,Adjudicado oferente ganador,1.9851,Pichincha , Quito,2022-03-23 08:00:00
SICM-018-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=4qGnSB1tbjGjwW3m2ME3RsGStB8UV7VsVTr0A5g2rjg,",DCI: ATORVASTATINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Atorvastatina,Sólido Oral,40 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.2,Pichincha , Quito,2022-03-23 08:00:00
SICM-004-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fNXsNdgObvk2tA3nyM8JN0h6WdAAXoFha-nFIv34LMw,",DCI: MEROPENEM - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Meropenem,Sólido Parenteral,1 000 MG,Caja X Vial -Es-,Adjudicado oferente ganador,4.4,Pichincha , Quito,2022-03-23 08:00:00
SICM-005-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_rP3xs9VH4c4sBgGDVaYJQFDmwPBEx6_FEoC_Oa6Fsw,",DCI: IMIPENEM + CILASTATINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG + 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DILUYENTE - CAJA X VIAL-ES-,Imipenem + Cilastatina,Sólido Parenteral,500 MG + 500 MG,Caja X Vial-Es- Con Diluyente - Caja X Vial-Es-,Adjudicado otros oferentes,4.54437,Pichincha , Quito,2022-03-23 08:00:00
SICM-019-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Qp88HCJlL-yLIH6R6ciDAtFhECZ_XEDCDFWuyagdNtw,","DCI: TAMSULOSINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 0,4 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Tamsulosina,Sólido Oral,"0,4 MG",Caja X Blíster/Ristra,Adjudicado oferente ganador,0.04,Pichincha , Quito,2022-03-23 08:00:00
SICM-006-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZOcbYudmaiCWFAEP2k_11Mjnwmo_9VbxBvBL0xc8Hb4,",DCI: LEVOFLOXACINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Levofloxacina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.08927,Pichincha , Quito,2022-03-23 08:00:00
SICM-020-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Nf7eX7w_I58cvXAvMU-wnr5JINMK9S5YSruDTsacdAQ,",DCI: KETOROLACO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 30 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Ketorolaco,Líquido Parenteral,30 MG/ML,Caja X Ampolla-S- X 1 Ml,Adjudicado oferente ganador,0.17413,Pichincha , Quito,2022-03-23 08:00:00
SICM-007-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=nVdB_vJZ4o9weyVQ5BFP1Seh4x9_CD6KSEj3Fy7B-JU,",DCI: METRONIDAZOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: FRASCO PLÁSTICO/FUNDA AUTOCOLAPSABLE X 100 ML,Metronidazol,Líquido Parenteral,5 MG/ML,Frasco Plástico/Funda Autocolapsable X 100 Ml,Adjudicado oferente ganador,0.5,Pichincha , Quito,2022-03-23 08:00:00
SICM-008-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=M0d1XRF1fbC4Po0YIs-n8Txkw6cxPRti_WhHEFlU0KE,",DCI: NITROFURANTOÍNA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Nitrofurantoína,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.069,Pichincha , Quito,2022-03-23 08:00:00
