index,codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre,cum_id,principio_activo,forma_farmaceutica,concentracion,presentacion,cantidad,precio_referencial,subtotal,proveedor_adjudicado,valor_adjudicado,fecha_adjudicacion,contrato
425,SICM-096-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gX5gJzIlprcEjFlMOa6BpvYAAGP8TepWBcziJGQaLG0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LENALIDOMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$160.10000,2022-03-28 08:00:00,First 2022,L04AX04SOR157X0,Lenalidomida,Sólido oral,25 mg,Caja x blíster/ristra,14833.0,USD 160.100000,"USD 2,374,763.300000",LETERAGO DEL ECUADOR S.A,USD 24.990000,2022-08-08 13:48:11,SI
426,SICM-118-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Ak46WySXI9VzGSjpClQk3sxqm32J_OiAtSHw6wxd_D0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: AMIODARONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.11000,2022-03-28 08:00:00,First 2022,C01BD01SOR148X0,Amiodarona,Sólido oral,200 mg,Caja x blíster/ristra,1821833.0,USD 0.110000,"USD 200,401.630000",NEOETHICALS CIA. LTDA.,USD 0.061900,2022-06-09 13:10:43,SI
427,SICM-097-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=chnAk5dCM3APDchXCTz8uy8QGJFv05g5J8BiL10UcKI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DOXICICLINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.09498,2022-03-28 08:00:00,First 2022,J01AA02SOR083X0,Doxiciclina,Sólido oral,100 mg,Caja x blíster/ristra,2886864.0,USD 0.094979,"USD 274,191.455856",FARMABION DEL ECUADOR C.A.,USD 0.073100,2022-10-07 15:56:31,SI
428,SICM-119-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0hjeFhWQ27lsRJaWz31t5QxZpnhBWxfhwgof2rbkTdI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: EPINEFRINA -ADRENALINA- FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 1 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.20197,2022-03-28 08:00:00,First 2022,C01CA24LPR056A3,Epinefrina (adrenalina),Líquido parenteral,1 mg/mL,Caja x ampolla(s) x 1 mL,666895.0,USD 0.201972,"USD 134,694.116940",SICMAFARMA ECUADOR S.A.,USD 0.115000,2022-06-09 13:15:11,SI
429,SICM-120-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LiRASLEnhh6OROkeNNxU3G761jjnx-kBM5ajM55oZvI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ENALAPRIL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 5 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.01500,2022-03-28 08:00:00,First 2022,C09AA02SOR223X0,Enalapril,Sólido oral,5 mg,Caja x blíster/ristra,7666352.0,USD 0.015000,"USD 114,995.280000",PHARMABRAND S.A.,USD 0.014000,2022-06-01 13:18:30,SI
430,SICM-098-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=AQojIzYKQx_zskM5Rf6irqqYzQ_Q5Pc1fSOK-OYtLgQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TIGECICLINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Adjudicado oferente ganador,PICHINCHA / QUITO,$15.10000,2022-03-28 08:00:00,First 2022,J01AA12SPR235X0,Tigeciclina,Sólido parenteral,50 mg,Caja x vial (es),126001.0,USD 15.100000,"USD 1,902,615.100000",NEOETHICALS CIA. LTDA.,USD 3.950000,2022-06-09 13:04:51,SI
431,SICM-099-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PXnGjkqhTQHvJnrRljXmeNWv4QD3kgocQP3rBDH_5mk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: OXACILINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.60000,2022-03-28 08:00:00,First 2022,J01CF04SPR061X0,Oxacilina,Sólido parenteral,1 000 mg,Caja x vial (es),669148.0,USD 0.600000,"USD 401,488.800000",TOTALCARE PHARMA S.A.,USD 0.249000,2022-06-20 16:34:31,SI
434,SICM-102-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=WnuJVj3pOndLJ9TQSzyZjkBss5yNF01saKGCPm19VPo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: AMIKACINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 2 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.30000,2022-03-28 08:00:00,First 2022,J01GB06LPR239A4,Amikacina,Líquido parenteral,50 mg/mL,Caja x ampolla(s) x 2 mL,359011.0,USD 0.300000,"USD 107,703.300000",LABVITALIS S.A.,USD 0.267300,2022-07-01 17:31:30,SI
435,SICM-103-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=QyWHs4xxnF2YAPVOrjBRXiLtFkNMcbXowyJyZrC6VIA,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: LEVOFLOXACINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO/FUNDA/BOLSA X 100 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$2.10000,2022-03-28 08:00:00,First 2022,J01MA12LPR225Y3,Levofloxacina,Líquido parenteral,5 mg/mL,Caja x frasco/funda/bolsa x 100 mL,563776.0,USD 2.100000,"USD 1,183,929.600000",PHARMEDIC S.A.,USD 1.140000,2022-10-20 12:51:10,SI
436,SICM-104-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=EaJoskjrKPCuPrY28o5hIqH9Jw8Q4pkzjy1yIRUHJlY,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: VANCOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Adjudicado otros oferentes,PICHINCHA / QUITO,$2.79730,2022-03-28 08:00:00,First 2022,J01XA01SPR061X0,Vancomicina,Sólido parenteral,1 000 mg,Caja x vial (es),247142.0,USD 2.797300,"USD 691,330.316600",NEOETHICALS CIA. LTDA.,USD 2.500000,2022-10-11 12:47:18,SI
442,SICM-065-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=o-L3pt2TNHTD_vZRLhDMAOhFkr39aVCWixcpJE8oVSw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DACARBAZINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Adjudicado oferente ganador,PICHINCHA / QUITO,$9.81820,2022-03-25 08:00:00,First 2022,L01AX04SPR148X0,Dacarbazina,Sólido parenteral,200 mg,Caja x vial (es),8952.0,USD 9.818200,"USD 87,892.526400",CORPORACION MAGMA ECUADOR S.A,USD 6.848370,2022-06-08 13:37:49,SI
443,SICM-066-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GOd4F5yjHcTSuWS9KaFSTshMiScBfkxMoMm7c_WyY-c,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METOTREXATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S-/VIAL-ES- X 2 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.90759,2022-03-25 08:00:00,First 2022,L01BA01LPR160C1,Metotrexato,Líquido parenteral,25 mg/mL,Caja x ampolla(s)/vial(es) x 2 mL,248634.0,USD 0.907586,"USD 225,656.737524",PHARMEDIC S.A.,USD 0.450000,2022-05-31 13:16:40,SI
444,SICM-067-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=N8Um6CFD73pkW0bvl0b3RWDa7POpggvG670UwlrJa70,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METOTREXATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML -EQUIVALENTE A 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 20 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$8.27500,2022-03-25 08:00:00,First 2022,L01BA01LSP352V8,Metotrexato,Líquido parenteral o sólido parenteral,25 mg/mL (equivalente a 500 mg),Caja x vial(es) x 20 mL,74592.0,USD 8.275000,"USD 617,248.800000",CEDIMED CIA. LTDA.,USD 7.680000,2022-06-20 14:22:15,SI
448,SICM-070-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=r6Q661vHkYqL_eA5i3vWlEcBuBi5kxXEJqjZvxw449I,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CITARABINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Adjudicado oferente ganador,PICHINCHA / QUITO,$14.00000,2022-03-25 08:00:00,First 2022,L01BC01SPR061X0,Citarabina,Sólido parenteral,1 000 mg,Caja x vial (es),1900.0,USD 14.000000,"USD 26,600.000000",CORPORACION MAGMA ECUADOR S.A,USD 6.289580,2022-06-08 13:41:40,SI
450,SICM-071-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=09qFwyvfiD6EwKv4Na0X-q1Wywv9npA1do52mkyKRMU,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CITARABINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES-,Adjudicado oferente ganador,PICHINCHA / QUITO,$3.69370,2022-03-25 08:00:00,First 2022,L01BC01SPR083X0,Citarabina,Sólido parenteral,100 mg,Caja x vial (es),12817.0,USD 3.693700,"USD 47,342.152900",SEVEN PHARMA DEL ECUADOR DISTRIBUIDORA & COMERCIALIZADORA SEVENPHARMA S.A.,USD 1.770000,2022-06-08 13:31:37,SI
452,SICM-072-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mtfy7gQXaD_rh7WsA_MBCZqdeuqciVQh6k9tQmrApgc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FLUOROURACILO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 10 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$2.18480,2022-03-25 08:00:00,First 2022,L01BC02LPR239V6,Fluorouracilo,Líquido parenteral,50 mg/mL,Caja x vial(es) x 10 mL,113103.0,USD 2.184800,"USD 247,107.434400",SALUD EXPRESS SALUDEXPRESS CIA LTDA,USD 1.750000,2022-08-30 10:07:32,SI
453,SICM-073-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FWvZC6uFGedTwkisjfmsDjoqCirsF4my9jbdnZ7RvYE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ETOPÓSIDO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 5 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$5.96000,2022-03-25 08:00:00,First 2022,L01CB01LPR144A8,Etopósido,Líquido parenteral,20 mg/mL,Caja x ampolla(s) x 5 mL,22994.0,USD 5.960000,"USD 137,044.240000",LABORATORIO GADOR S.A.,USD 3.890000,2022-12-30 13:06:38,SI
454,SICM-079-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=jpQzf_hajApWdKAXiBhg2tCipoA2Zf4zcXPivre2FN0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BLEOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 15 UI - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DILUYENTE - CAJA X VIAL-ES-,Adjudicado otros oferentes,PICHINCHA / QUITO,$25.00000,2022-03-25 08:00:00,First 2022,L01DC01SPR108X0,Bleomicina,Sólido parenteral,15 UI,Caja x vial(es) con diluyente - Caja x vial(es),12509.0,USD 25.000000,"USD 312,725.000000",CEDIMED CIA. LTDA.,USD 18.900000,2022-12-13 11:05:08,SI
456,SICM-075-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GLdvNyjZA6fgqBvVUaU0Orh852HfQxjzF6wFzvlVWLU,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DOCETAXEL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 80 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE,Adjudicado otros oferentes,PICHINCHA / QUITO,$34.30000,2022-03-25 08:00:00,First 2022,L01CD02LPR281X0,Docetaxel,Líquido parenteral,80 mg,Caja x vial(es) con disolvente,30994.0,USD 34.300000,"USD 1,063,094.200000",LETERAGO DEL ECUADOR S.A,USD 13.240000,2022-08-22 11:19:20,SI
457,SICM-080-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GUzR3i-2Bu2vmIa116XU_vVpf5mGPzG5c-6bK3c2AxM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MITOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DILUYENTE - CAJA X VIAL-ES-,Adjudicado otros oferentes,PICHINCHA / QUITO,$45.00000,2022-03-25 08:00:00,First 2022,L01DC03SPR140X0,Mitomicina,Sólido parenteral,20 mg,Caja x vial(es) con diluyente - Caja x vial(es),5886.0,USD 45.000000,"USD 264,870.000000",DIEMPEC CIA. LTDA. DISTRIBUIDORA FARMACEUTICA,USD 40.000000,2022-08-04 10:21:18,SI
458,SICM-081-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=B2eWCE_emBi1vRQO3GvxBymWN9azULUmLEVAaROAi38,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CISPLATINO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Adjudicado oferente ganador,PICHINCHA / QUITO,$5.25127,2022-03-25 08:00:00,First 2022,L01XA01LSP235X0,Cisplatino,Líquido parenteral o sólido parenteral,50 mg,Caja x vial (es),32357.0,USD 5.251270,"USD 169,915.343390",NEOETHICALS CIA. LTDA.,USD 3.450000,2022-06-01 13:07:20,SI
459,SICM-082-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Y3gBXF60in6E03iVI94ObO-nOQsheGIv2q7A9rZsqgI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CARBOPLATINO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 45 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$41.87989,2022-03-25 08:00:00,First 2022,L01XA02LSP077V9,Carboplatino,Líquido parenteral o sólido parenteral,10 mg/mL,Caja x vial(es) x 45 mL,12253.0,USD 41.879888,"USD 513,154.267664",FRESENIUS KABI S.A,USD 28.100000,2022-09-05 13:07:42,SI
460,SICM-083-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LU8aBcSvPjkiM0Ln8l1jPOPUqGLIhtqZKt176rxJ-mw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: OXALIPLATINO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL -ES-,Adjudicado otros oferentes,PICHINCHA / QUITO,$14.44500,2022-03-25 08:00:00,First 2022,L01XA03LSP235X0,Oxaliplatino,Líquido parenteral o sólido parenteral,50 mg,Caja x vial (es),15746.0,USD 14.445000,"USD 227,450.970000",GYKORMED S.A.,USD 14.150000,2022-10-06 12:37:48,SI
461,SICM-084-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hgyVSS_SMUIY28_6Af6jE4CQyMDq8gs0kkRtw4989V0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BEVACIZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 4 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$281.06000,2022-03-25 08:00:00,First 2022,L01XC07LPR160V3,Bevacizumab,Líquido parenteral,25 mg/mL,Caja x vial x 4 mL,32949.0,USD 281.060000,"USD 9,260,645.940000",OFTALVIS S.A.,USD 178.000000,2022-08-04 14:38:57,SI
462,SICM-085-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=4R_6zvCrtOvmBa2s4Xlp-OxlrVGcRVgmWQzk3TlmBvI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BEVACIZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 16 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$480.00000,2022-03-25 08:00:00,First 2022,L01XC07LPR160V4,Bevacizumab,Líquido parenteral,25 mg/mL,Caja x vial x 16 mL,42749.0,USD 480.000000,"USD 20,519,520.000000",OFTALVIS S.A.,USD 438.000000,2022-10-03 10:20:11,SI
463,SICM-086-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FsJtHTxhhvExsr_umuMfn1sc7Rb9N7rRgN7TNkV6OlE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: NILOTINIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 200 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$29.50000,2022-03-25 08:00:00,First 2022,L01XE08SOR148X0,Nilotinib,Sólido oral,200 mg,Caja x blíster/ristra,625337.0,USD 29.500000,"USD 18,447,441.500000",LABORATORIOS SIEGFRIED S.A.,USD 27.730000,2022-10-06 12:42:53,SI
464,SICM-087-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=s2TmE4HHF7LWa_3qhPc914lpBh3sxZ9p2gW2Vl9H8rc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FULVESTRANT - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 5 ML - CAJA X JERINGA-S- PRELLENADA-S- X 5 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$245.00000,2022-03-25 08:00:00,First 2022,L02BA03LPR239B6,Fulvestrant,Líquido parenteral,50 mg/mL,Caja x vial(es) x 5 mL - Caja x jeringa(s) prellenada(s) x 5 mL,11043.0,USD 245.000000,"USD 2,705,535.000000",NOVARTIS ECUADOR S.A.,USD 67.710000,2022-06-08 15:30:23,SI
466,SICM-089-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sqBOq-zow9lm-sGzJFW1OSRMjIR-t-0aQkRR8rKenT4,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: BICALUTAMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado oferente ganador,PICHINCHA / QUITO,$0.42000,2022-03-25 08:00:00,First 2022,L02BB03SOR235X0,Bicalutamida,Sólido oral,50 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",680406.0,USD 0.420000,"USD 285,770.520000",SEVEN PHARMA DEL ECUADOR DISTRIBUIDORA & COMERCIALIZADORA SEVENPHARMA S.A.,USD 0.147000,2022-06-08 15:43:09,SI
467,SICM-090-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DCPd0lMh1lt6ntDxoajvl3oTL55pebEHJ35D0m13M-k,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ENZALUTAMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$30.56000,2022-03-25 08:00:00,First 2022,L02BB04SOR209X0,Enzalutamida,Sólido oral,40 mg,Caja x blíster/ristra,600516.0,USD 30.560000,"USD 18,351,768.960000",OFTALVIS S.A.,USD 5.890000,2022-06-24 16:05:44,SI
468,SICM-046-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fk6k5psDl-8Vriw7RzF5kwSGCMxCcME5RP1z3B-WunI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FACTOR VIII - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 UI -RECOMBINANTE- PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE Y KIT PARA ADMINISTRACIÓN,Adjudicado oferente ganador,PICHINCHA / QUITO,$391.00000,2022-03-24 08:00:00,First 2022,B02BD02SPR319X0,Factor VIII,Sólido parenteral,1 000 UI (recombinante),Caja x vial con diluyente y kit para administración.,29209.0,USD 391.000000,"USD 11,420,719.000000",OFTALVIS S.A.,USD 145.000000,2025-03-18 10:32:02,SI
469,SICM-031-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lXicAmt5I5clAsDJhyH3lEc14lhGbvN1nkNdUe2J37c,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: TEMOZOLOMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado otros oferentes,PICHINCHA / QUITO,$14.00000,2022-03-24 08:00:00,First 2022,L01AX03SOR083X0,Temozolomida,Sólido oral,100 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",55367.0,USD 14.000000,"USD 775,138.000000",SEVEN PHARMA DEL ECUADOR DISTRIBUIDORA & COMERCIALIZADORA SEVENPHARMA S.A.,USD 3.300000,2022-09-14 14:33:03,SI
471,SICM-048-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=yezrsldzFVUHmzFudS6tq8bKYdD2H3YQlDMWb1-hSGE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ENALAPRIL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.01200,2022-03-24 08:00:00,First 2022,C09AA02SOR075X0,Enalapril,Sólido oral,10 mg,Caja x blíster/ristra,40356230.0,USD 0.012000,"USD 484,274.760000",PHARMABRAND S.A.,USD 0.010920,2022-05-31 13:53:15,SI
